School ID,School Name,Latitude,Longitude,Student Count,Low Income Student Count,Graduation Rate,Atttendance Rate Current Year,Address State,Address Street,Address Zip Code,Is High School,Is Middle School,Is Elementarty School,Is Pre School
609960,Nathan Hale Elementary School,41.780192,-87.776579,763,520,,91.3,Illinois,6140 S MELVINA Ave,60638,False,True,True,True
609793,Lillian R. Nicholson STEM Academy,41.784942,-87.647453,539,482,,93.5,Illinois,6006 S PEORIA St,60621,False,True,True,True
610068,Hanson Park Elementary School,41.923955,-87.761515,1117,1043,,89.6,Illinois,5411 W FULLERTON Ave,60639,False,True,True,True
610105,Oriole Park Elementary School,41.978501,-87.812054,609,167,,92.4,Illinois,5424 N OKETO Ave,60656,False,True,True,True
610094,Louis Nettelhorst Elementary School,41.941637,-87.644561,643,131,,92.8,Illinois,3252 N BROADWAY St,60657,False,True,True,True
610098,Alfred Nobel Elementary School,41.906155,-87.729955,597,583,,90.5,Illinois,4127 W HIRSCH St,60651,False,True,True,True
610147,Philip Rogers Elementary School,42.015265,-87.697185,805,506,,92.5,Illinois,7345 N WASHTENAW Ave,60645,False,True,True,True
610197,Mancel Talcott Elementary School,41.892405,-87.673723,485,346,,92.9,Illinois,1840 W OHIO St,60622,False,True,True,True
610029,Rodolfo Lozano Bilingual & International Ctr ES,41.908886,-87.665093,247,164,,88.0,Illinois,1501 N GREENVIEW Ave,60642,False,True,True,True
610198,Douglas Taylor Elementary School,41.71547,-87.532971,350,313,,88.7,Illinois,9912 S AVENUE H ,60617,False,True,True,True
610043,Joseph Lovett Elementary School,41.912718,-87.783919,335,278,,93.7,Illinois,6333 W BLOOMINGDALE Ave,60639,False,True,True,True
609955,Walter Q Gresham Elementary School,41.73892,-87.645025,327,316,,93.5,Illinois,8524 S GREEN St,60620,False,True,True,True
609772,Jane Addams Elementary School,41.698739,-87.532976,552,442,,90.4,Illinois,10810 S AVENUE H ,60617-6726,False,True,True,True
400085,Acero Charter Schools - Major Hector P. Garcia MD,41.809171,-87.730467,643,580,92.3,85.4,Illinois,4248 W 47TH St,60632,True,False,False,False
610304,Phoenix Military Academy High School,41.879118,-87.68696,360,315,91.0,89.2,Illinois,145 S CAMPBELL Ave,60612,True,False,False,False
610077,Donald Morrill Math & Science Elementary School,41.784313,-87.688549,583,567,,89.5,Illinois,6011 S ROCKWELL St,60629,False,True,True,True
400131,YCCS-Dr. Pedro Albizu Campos Puerto Rican HS,41.90285,-87.696006,160,156,,61.6,Illinois,2739 W DIVISION St,60622-2854,True,False,False,False
610405,Suder Montessori Magnet ES,41.883215,-87.677636,430,193,,91.2,Illinois,2022 W WASHINGTON Blvd,60612,False,True,True,True
609695,Roald Amundsen High School,41.975067,-87.679484,1388,508,89.5,85.6,Illinois,5110 N DAMEN Ave,60625,True,False,False,False
610083,Daniel C Beard Elementary School,41.970125,-87.78963,425,206,,81.8,Illinois,6445 W STRONG St,60656-4011,False,False,True,True
609920,Gerald Delgado Kanoon Elementary Magnet School,41.850771,-87.705112,397,369,,88.8,Illinois,2233 S KEDZIE Ave,60623,False,True,True,True
610157,Sidney Sawyer Elementary School,41.797498,-87.705006,908,873,,90.3,Illinois,5248 S SAWYER Ave,60632,False,True,True,True
610308,Wilma Rudolph Elementary Learning Center,41.883568,-87.669477,112,82,,49.8,Illinois,1628 W WASHINGTON Blvd,60612-2613,False,True,True,True
609981,Phoebe Apperson Hearst Elementary School,41.808175,-87.745726,292,243,,90.5,Illinois,4640 S LAMON Ave,60638,False,True,True,True
609895,Turner-Drew Elementary Language Academy,41.725609,-87.630164,194,152,,93.1,Illinois,9300 S PRINCETON Ave,60620,False,True,True,False
610592,Englewood STEM High School,41.770251,-87.639061,604,503,,71.5,Illinois,6835 S NORMAL ,60621-2535,True,False,False,False
609753,Chicago High School for Agricultural Sciences,41.691221,-87.71777,756,434,79.7,91.0,Illinois,3857 W 111TH St,60655-4009,True,False,False,False
610019,Joshua D Kershaw Elementary School,41.776453,-87.640892,225,203,,91.3,Illinois,6450 S LOWE Ave,60621,False,True,True,True
400092,CICS - Lloyd Bond,41.653663,-87.605039,275,254,,85.9,Illinois,13300 S LANGLEY Ave,60827,False,False,True,False
609849,George F Cassell Elementary School,41.687347,-87.703215,367,79,,92.4,Illinois,11314 S SPAULDING Ave,60655,False,True,True,False
610312,Mary E McDowell Elementary School,41.733132,-87.589589,115,90,,94.0,Illinois,1419 E 89TH St,60619,False,False,True,True
610003,Paul Cuffe Math-Science Technology Academy ES,41.742452,-87.653633,250,226,,92.1,Illinois,8324 S RACINE Ave,60620,False,True,True,True
609748,Consuella B York Alternative High School,41.842533,-87.695261,154,151,,60.3,Illinois,2700 S CALIFORNIA Ave,60608,True,False,False,False
400167,Horizon Science Academy Southwest Chicago Charter,41.795201,-87.683963,706,618,89.3,91.8,Illinois,5401 S WESTERN Ave,60609,True,True,True,False
610239,Richard J Daley Elementary Academy,41.802343,-87.672206,522,485,,90.7,Illinois,5024 S WOLCOTT Ave,60609,False,True,True,True
610218,Joseph Warren Elementary School,41.726763,-87.575353,308,294,,91.4,Illinois,9239 S JEFFERY Ave,60617,False,True,True,True
400013,ASPIRA Charter School - Early College High School,41.937298,-87.727096,278,250,91.4,86.2,Illinois,3986 W BARRY Ave,60618,True,False,False,False
610542,West Ridge Elementary School,42.002959,-87.705917,699,610,,90.8,Illinois,6700 N WHIPPLE St,60645,False,True,True,True
610146,Paul Revere Elementary School,41.764196,-87.600177,191,171,,88.5,Illinois,1010 E 72ND St,60619,False,True,True,True
610052,Horace Mann Elementary School,41.748274,-87.574816,289,272,,91.2,Illinois,8050 S CHAPPEL Ave,60617,False,True,True,True
610565,Excel Academy of Englewood,41.763896,-87.649124,265,193,23.3,70.7,Illinois,7141 S MORGAN ,60621-5000,True,True,False,False
400030,CICS - West Belden,41.921687,-87.776749,524,458,,92.3,Illinois,2245 N MCVICKER Ave,60639,False,True,True,False
400179,Noble Mansueto High School,41.800136,-87.728003,1061,975,91.0,89.8,Illinois,2911 W 47TH ,60632-1906,True,False,False,False
610104,William J Onahan Elementary School,41.99379,-87.793108,649,202,,92.3,Illinois,6634 W RAVEN St,60631,False,True,True,True
609883,Charles S Deneen Elementary School,41.76249,-87.623345,475,434,,90.1,Illinois,7240 S WABASH Ave,60619,False,True,True,True
609990,South Loop Elementary School,41.859741,-87.628349,867,263,,93.8,Illinois,1601 S DEARBORN St,60616-1225,False,True,True,True
609725,Morgan Park High School,41.692035,-87.665658,1188,936,85.2,78.9,Illinois,1744 W PRYOR Ave,60643,True,True,False,False
610095,Walter L Newberry Math & Science Academy ES,41.913947,-87.64599,328,253,,90.1,Illinois,700 W WILLOW St,60614,False,True,True,True
609724,Stephen T Mather High School,41.987589,-87.702496,1616,1263,85.6,84.1,Illinois,5835 N LINCOLN Ave,60659,True,False,False,False
609830,Milton Brunson Math & Science Specialty ES ,41.897663,-87.765606,477,446,,86.8,Illinois,932 N CENTRAL Ave,60651,False,True,True,True
610107,James Otis Elementary School,41.891806,-87.665426,339,287,,88.6,Illinois,525 N ARMOUR St,60642,False,True,True,True
609848,Ira F Aldridge Elementary School,41.657405,-87.606474,259,237,,88.5,Illinois,630 E 131ST St,60827,False,True,True,True
609829,John C Burroughs Elementary School,41.828868,-87.692457,305,287,,92.0,Illinois,3542 S WASHTENAW Ave,60632,False,True,True,True
610026,John H Kinzie Elementary School,41.789965,-87.779483,639,395,,92.8,Illinois,5625 S MOBILE Ave,60638,False,True,True,True
610036,Leslie Lewis Elementary School,41.906826,-87.75455,430,422,,89.0,Illinois,1431 N LEAMINGTON Ave,60651,False,True,True,True
610557,Pathways in Education- Ashburn,41.735239,-87.70406,314,271,,80.6,Illinois,3284 W 87TH St,60652,True,False,False,False
610131,Ambrose Plamondon Elementary School,41.860259,-87.692526,96,83,,90.7,Illinois,2642 W 15TH Pl,60608,False,True,True,False
