PUMA,puma_label,year,indicator,value,cut_name
3528.0,"(South) - Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing",2013,atten_elementary_w,6167.0,men
3529.0,"(South) - South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas",2013,atten_elementary_w,6134.0,men
3530.0,"(South) - Ashburn, Washington Heights, Morgan Park & Beverly",2013,atten_elementary_w,6195.0,men
3531.0,"(South) - Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside",2013,atten_elementary_w,4023.0,men
3532.0,"(South) - South Chicago, Pullman, West Pullman, East Side & South Deering",2013,atten_elementary_w,7038.0,men
9999.0,Chicago Area,2013,atten_elementary_w,98735.0,men
3501.0,"(North) - Edgewater, Uptown & Rogers Park",2018,atten_elementary_w,4175.0,men
3502.0,(North) - Lake View & Lincoln Park,2018,atten_elementary_w,3946.0,men
3503.0,"(North) - West Ridge, Lincoln Square & North Center",2018,atten_elementary_w,5327.0,men
3504.0,"(Northwest) - Irving Park, Albany Park, Forest Glen & North Park",2018,atten_elementary_w,5009.0,men
3520.0,"(Northwest) - Portage Park, Dunning & Jefferson Park",2018,atten_elementary_w,4401.0,men
3521.0,"(West) - Austin, Belmont Cragin & Montclare",2018,atten_elementary_w,6839.0,men
3522.0,"(Northwest) - Logan Square, Avondale & Hermosa",2018,atten_elementary_w,4123.0,men
3523.0,"(West) - North & South Lawndale, Humboldt Park, East & West Garfield Park",2018,atten_elementary_w,7638.0,men
3524.0,"(West) - West Town, Near West Side & Lower West Side",2018,atten_elementary_w,2136.0,men
3525.0,"(Central) - Near North Side, Loop & Near South Side",2018,atten_elementary_w,1064.0,men
3526.0,"(Southwest) - Brighton Park, New City, Bridgeport & McKinley Park",2018,atten_elementary_w,5948.0,men
3527.0,"(Southwest) - Gage Park, Garfield Ridge & West Lawn",2018,atten_elementary_w,5174.0,men
3528.0,"(South) - Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing",2018,atten_elementary_w,6106.0,men
3529.0,"(South) - South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas",2018,atten_elementary_w,6290.0,men
3530.0,"(South) - Ashburn, Washington Heights, Morgan Park & Beverly",2018,atten_elementary_w,4038.0,men
3531.0,"(South) - Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside",2018,atten_elementary_w,4207.0,men
3532.0,"(South) - South Chicago, Pullman, West Pullman, East Side & South Deering",2018,atten_elementary_w,4511.0,men
9999.0,Chicago Area,2018,atten_elementary_w,80932.0,men
3151.0,"(Northwest) - Albany Park, Norwood Park, Forest Glen, North Park & O'Hare",2023,atten_elementary_w,7725.0,men
3152.0,"(North) - West Ridge, Lincoln Square & North Center",2023,atten_elementary_w,4408.0,men
3153.0,"(North) - Uptown, Edgewater & Rogers Park",2023,atten_elementary_w,3675.0,men
3154.0,(North) - Lake View & Lincoln Park,2023,atten_elementary_w,3383.0,men
3155.0,"(Northwest) - Logan Square, Irving Park & Avondale",2023,atten_elementary_w,2975.0,men
3156.0,"(Northwest) - Portage Park, Dunning & Jefferson Park",2023,atten_elementary_w,3101.0,men
3157.0,"(West) - Belmont Cragin, Humboldt Park, Hermosa & Montclare",2023,atten_elementary_w,7307.0,men
3158.0,"(West) - Austin, North Lawndale & East/West Garfield Park",2023,atten_elementary_w,3179.0,men
3159.0,(West) - West Town & Near West Side,2023,atten_elementary_w,2179.0,men
3160.0,"(Central) - Near North Side, Loop & Near South Side",2023,atten_elementary_w,3277.0,men
3161.0,"(South) - Hyde Park, Grand Boulevard, Woodlawn, Douglas & Kenwood",2023,atten_elementary_w,4929.0,men
3162.0,"(Southwest) - New City, Lower West Side, Bridgeport & McKinley Park",2023,atten_elementary_w,3683.0,men
3163.0,"(Southwest) - South Lawndale, Brighton Park & Gage Park",2023,atten_elementary_w,3906.0,men
3164.0,"(Southwest) - Ashburn, Garfield Ridge, West Lawn, Clearing & West Elsdon",2023,atten_elementary_w,5829.0,men
3165.0,"(South) - Chicago Lawn, Greater Grand Crossing & West Englewood/Englewood",2023,atten_elementary_w,4126.0,men
3166.0,"(Southwest) - Auburn Gresham, Washington Heights, Morgan Park & Beverly",2023,atten_elementary_w,3551.0,men
3167.0,"(South) - Roseland, Chatham, West Pullman, Calumet Heights & Avalon Park",2023,atten_elementary_w,6021.0,men
3168.0,"(South) - South Shore, South Chicago, East Side & South Deering",2023,atten_elementary_w,5982.0,men
9999.0,Chicago Area,2023,atten_elementary_w,79236.0,men
3501.0,"(North) - Edgewater, Uptown & Rogers Park",2013,atten_elementary_w,1949.0,afroamerican
3502.0,(North) - Lake View & Lincoln Park,2013,atten_elementary_w,93.0,afroamerican
3503.0,"(North) - West Ridge, Lincoln Square & North Center",2013,atten_elementary_w,870.0,afroamerican
3504.0,"(Northwest) - Irving Park, Albany Park, Forest Glen & North Park",2013,atten_elementary_w,1151.0,afroamerican
3520.0,"(Northwest) - Portage Park, Dunning & Jefferson Park",2013,atten_elementary_w,0.0,afroamerican
3521.0,"(West) - Austin, Belmont Cragin & Montclare",2013,atten_elementary_w,7168.0,afroamerican
3522.0,"(Northwest) - Logan Square, Avondale & Hermosa",2013,atten_elementary_w,489.0,afroamerican
3523.0,"(West) - North & South Lawndale, Humboldt Park, East & West Garfield Park",2013,atten_elementary_w,9109.0,afroamerican
3524.0,"(West) - West Town, Near West Side & Lower West Side",2013,atten_elementary_w,2367.0,afroamerican
3525.0,"(Central) - Near North Side, Loop & Near South Side",2013,atten_elementary_w,1888.0,afroamerican
3526.0,"(Southwest) - Brighton Park, New City, Bridgeport & McKinley Park",2013,atten_elementary_w,1142.0,afroamerican
3527.0,"(Southwest) - Gage Park, Garfield Ridge & West Lawn",2013,atten_elementary_w,977.0,afroamerican
3528.0,"(South) - Chicago Lawn, Englewood/West Englewood & Greater Grand Crossing",2013,atten_elementary_w,8901.0,afroamerican
3529.0,"(South) - South Shore, Hyde Park, Woodlawn, Grand Boulevard & Douglas",2013,atten_elementary_w,12458.0,afroamerican
3530.0,"(South) - Ashburn, Washington Heights, Morgan Park & Beverly",2013,atten_elementary_w,5285.0,afroamerican
3531.0,"(South) - Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside",2013,atten_elementary_w,8735.0,afroamerican
3532.0,"(South) - South Chicago, Pullman, West Pullman, East Side & South Deering",2013,atten_elementary_w,8307.0,afroamerican
9999.0,Chicago Area,2013,atten_elementary_w,70889.0,afroamerican
3501.0,"(North) - Edgewater, Uptown & Rogers Park",2018,atten_elementary_w,3186.0,afroamerican
3502.0,(North) - Lake View & Lincoln Park,2018,atten_elementary_w,288.0,afroamerican
3503.0,"(North) - West Ridge, Lincoln Square & North Center",2018,atten_elementary_w,549.0,afroamerican
