,id,name,latitude,longitude,student_count,is_high_school,is_middle_school,is_pre_school,is_ele_school,attendance_rate,graduation_rate,add_street,add_state,add_zipcode,puma,neighborhood
92,610092,Henry H Nash Elementary School,41.89181,-87.747936,265,False,True,True,True,88.2,,4837 W ERIE St,Illinois,60644-1720,,0025
93,610539,Marvin Camras Elementary School,41.934931,-87.770127,713,False,True,True,True,91.7,,3000 N MANGO Ave,Illinois,60634,,0019
94,400076,University of Chicago - North Kenwood/Oakland,41.811183,-87.598786,304,False,False,False,True,90.8,,1119 E 46TH St,Illinois,60653,,0039
95,610110,Ida B Wells Preparatory Elementary Academy,41.827355,-87.61978,294,False,True,True,True,90.6,,249 E 37TH St,Illinois,60653,,0035
96,610132,Edgar Allan Poe Elementary Classical School,41.70263,-87.606419,224,False,True,False,True,95.3,,10538 S LANGLEY Ave,Illinois,60628,,0050
97,609773,Harriet Tubman Elementary School,41.934126,-87.656229,304,False,True,True,True,92.0,,2851 N SEMINARY Ave,Illinois,60657,,0006
98,610086,Mount Vernon Elementary School,41.701952,-87.647652,259,False,True,True,True,89.6,,10540 S MORGAN St,Illinois,60643,,0073
99,609960,Nathan Hale Elementary School,41.780192,-87.776579,763,False,True,True,True,91.3,,6140 S MELVINA Ave,Illinois,60638,,0064
100,609793,Lillian R. Nicholson STEM Academy,41.784942,-87.647453,539,False,True,True,True,93.5,,6006 S PEORIA St,Illinois,60621,,0068
101,610068,Hanson Park Elementary School,41.923955,-87.761515,1117,False,True,True,True,89.6,,5411 W FULLERTON Ave,Illinois,60639,,0019
102,610105,Oriole Park Elementary School,41.978501,-87.812054,609,False,True,True,True,92.4,,5424 N OKETO Ave,Illinois,60656,,0010
103,610094,Louis Nettelhorst Elementary School,41.941637,-87.644561,643,False,True,True,True,92.8,,3252 N BROADWAY St,Illinois,60657,,0006
104,610098,Alfred Nobel Elementary School,41.906155,-87.729955,597,False,True,True,True,90.5,,4127 W HIRSCH St,Illinois,60651,,0023
105,610147,Philip Rogers Elementary School,42.015265,-87.697185,805,False,True,True,True,92.5,,7345 N WASHTENAW Ave,Illinois,60645,,0002
106,610197,Mancel Talcott Elementary School,41.892405,-87.673723,485,False,True,True,True,92.9,,1840 W OHIO St,Illinois,60622,,0024
107,610029,Rodolfo Lozano Bilingual & International Ctr ES,41.908886,-87.665093,247,False,True,True,True,88.0,,1501 N GREENVIEW Ave,Illinois,60642,,0024
108,610198,Douglas Taylor Elementary School,41.71547,-87.532971,350,False,True,True,True,88.7,,9912 S AVENUE H ,Illinois,60617,,0052
109,610043,Joseph Lovett Elementary School,41.912718,-87.783919,335,False,True,True,True,93.7,,6333 W BLOOMINGDALE Ave,Illinois,60639,,0025
110,609955,Walter Q Gresham Elementary School,41.73892,-87.645025,327,False,True,True,True,93.5,,8524 S GREEN St,Illinois,60620,,0071
111,609772,Jane Addams Elementary School,41.698739,-87.532976,552,False,True,True,True,90.4,,10810 S AVENUE H ,Illinois,60617-6726,,0052
112,400085,Acero Charter Schools - Major Hector P. Garcia MD,41.809171,-87.730467,643,True,False,False,False,85.4,92.3,4248 W 47TH St,Illinois,60632,,0057
113,610304,Phoenix Military Academy High School,41.879118,-87.68696,360,True,False,False,False,89.2,91.0,145 S CAMPBELL Ave,Illinois,60612,,0028
114,610077,Donald Morrill Math & Science Elementary School,41.784313,-87.688549,583,False,True,True,True,89.5,,6011 S ROCKWELL St,Illinois,60629,,0066
