,id,name,latitude,longitude,student_count,is_high_school,is_middle_school,is_pre_school,is_ele_school,attendance_rate,graduation_rate,add_street,add_state,add_zipcode,status_as_of_2024,year,dropout_rate,num_dropouts,total_students_dropout,adjusted_students,puma,neighborhood
150,400126,YCCS - ASSOCIATION HOUSE,41.901572,-87.70686,92.0,True,False,False,False,62.5,,1116 N KEDZIE Ave,Illinois,60651-4152,,2023,34.3,49,146,143,03157,
151,400131,YCCS - CAMPOS,41.90285,-87.696006,145.0,True,False,False,False,61.6,,2739 W DIVISION St,Illinois,60622-2854,,2023,26,40,155,154,03159,
152,400128,YCCS - CCA ACADEMY,41.864943,-87.723662,129.0,True,False,False,False,53.0,,1231 S PULASKI Rd,Illinois,60623,,2023,39.3,57,150,145,03158,
153,400150,YCCS - CHATHAM,41.730131,-87.60698,113.0,True,False,False,False,55.4,,9035 S LANGLEY Ave,Illinois,60619,,2023,26.5,45,175,170,03167,
154,400133,YCCS - INNOVATIONS,41.883047,-87.627734,350.0,True,False,False,False,62.2,,17 N STATE St,Illinois,60602,,2023,34.3,227,674,661,03160,
155,400135,YCCS - LATINO YOUTH,41.854665,-87.69543,148.0,True,False,False,False,62.3,,2001 S CALIFORNIA Ave,Illinois,60608,,2023,45.5,101,228,222,03163,
156,400124,YCCS - MCKINLEY,41.841331,-87.625331,106.0,True,False,False,False,73.2,,2920 S WABASH Ave,Illinois,60616,,2023,43,52,125,121,03161,
157,400136,YCCS - OLIVE HARVEY,41.712922,-87.592333,105.0,True,False,False,False,67.8,,10001 S WOODLAWN Ave,Illinois,60628,,2023,39.6,76,192,192,03167,
158,400129,YCCS - PROGRESSIVE LEADERSHIP,41.773962,-87.61574,140.0,True,False,False,False,62.0,,6620 S DR MARTIN LUTHER KING JR Dr,Illinois,60637-3210,,2023,36.6,75,213,205,03165,
159,400123,YCCS - SCHOLASTIC ACHIEVEMENT,41.880447,-87.742539,128.0,True,False,False,False,61.6,,4651 W MADISON St,Illinois,60644,,2023,29.3,49,173,167,03158,
160,400139,YCCS - SULLIVAN,41.746287,-87.578492,298.0,True,False,False,False,81.4,,8164 S SOUTH CHICAGO Ave,Illinois,60617,,2023,13.4,49,390,366,03167,
161,400141,YCCS - TRUMAN,41.965295,-87.659239,162.0,True,False,False,False,51.4,,1145 W WILSON Ave,Illinois,60640,,2023,40.7,120,296,295,03153,
162,400144,YCCS - WEST,41.90224,-87.74881,97.0,True,False,False,False,63.6,,4909 W DIVISION St,Illinois,60651,,2023,34.6,64,188,185,03158,
163,400143,YCCS - WEST TOWN,41.890803,-87.702053,116.0,True,False,False,False,55.0,,500 N SACRAMENTO Blvd,Illinois,60612,,2023,33.1,45,143,136,03157,
164,400145,YCCS - YOUTH CONNECTION,41.832072,-87.626781,116.0,True,False,False,False,78.3,,5101 S KEELER Ave,Illinois,60632-4205,,2023,22.2,40,183,180,03161,
165,400130,YCCS - YOUTH DEVELOPMENT,41.751377,-87.641731,86.0,True,False,False,False,61.9,,7836 S UNION Ave,Illinois,60620,,2023,54.3,69,132,127,03166,
166,609755,YOUNG HS,41.878603,-87.664233,2207.0,True,True,False,False,93.6,95.6,211 S LAFLIN St,Illinois,60607,,2023,0.4,8,1943,1906,03159,
167,400127,YCCS - AUSTIN CAREER,41.894976,-87.760221,0.0,True,False,False,False,,,5352 W CHICAGO Ave,Illinois,60651,Closed,2023, , , , ,03158,
